Appliances,lights,T1,RH_1
60,30,19.89,47.59666667
60,30,19.89,46.69333333
50,30,19.89,46.3
50,40,19.89,46.06666667
60,30,19.89,47.59666667
60,30,19.89,46.69333333
50,30,19.89,46.3
50,40,19.89,46.06666667
60,40,19.89,46.33333333
50,40,19.89,46.02666667
60,50,19.89,45.76666667
60,50,19.85666667,45.56
60,40,19.79,45.5975
70,40,19.85666667,46.09
230,70,19.92666667,45.86333333
580,60,20.06666667,46.39666667
430,50,20.13333333,48
250,40,20.26,52.72666667
100,10,20.42666667,55.89333333
100,10,20.56666667,53.89333333
90,10,20.73,52.66
70,30,20.85666667,53.66
80,30,20.89,51.19333333
